#module	rmiName	direction	class	method	handlerAddr	handlerOldName	renamed
CryGame.dll	RMI:CGameRules:SvVote	C2S	CGameRules	SvVote	10c29480	RMI_CGameRules_SvVote	no
CryGame.dll	RMI:CGameRules:SvVoteNo	C2S	CGameRules	SvVoteNo	10c29510	RMI_CGameRules_SvVoteNo	no
CryGame.dll	RMI:CGameRules:SvStartVoting	C2S	CGameRules	SvStartVoting	10c295a0	RMI_CGameRules_SvStartVoting	no
CryGame.dll	RMI:CGameRules:ClVotingStatus	S2C	CGameRules	ClVotingStatus	10c296a0	RMI_CGameRules_ClVotingStatus	no
CryGame.dll	RMI:CGameRules:ClEnteredGame	S2C	CGameRules	ClEnteredGame	10c29750	RMI_CGameRules_ClEnteredGame	no
CryGame.dll	RMI:CGameRules:ClPlayerJoined	S2C	CGameRules	ClPlayerJoined	10c297e0	RMI_CGameRules_ClPlayerJoined	no
CryGame.dll	RMI:CGameRules:ClPlayerLeft	S2C	CGameRules	ClPlayerLeft	10c298b0	RMI_CGameRules_ClPlayerLeft	no
CryGame.dll	RMI:CHomingMissile:SvRequestDestination	C2S	CHomingMissile	SvRequestDestination	10c878d0	RMI_CHomingMissile_SvRequestDestination	no
CryGame.dll	RMI:CItem:ClAttachAccessory	S2C	CItem	ClAttachAccessory	10cc47b0	RMI_CItem_ClAttachAccessory	no
CryGame.dll	RMI:CItem:SvRequestEnterModify	C2S	CItem	SvRequestEnterModify	10cc4870	RMI_CItem_SvRequestEnterModify	no
CryGame.dll	RMI:CItem:SvRequestLeaveModify	C2S	CItem	SvRequestLeaveModify	10cc4900	RMI_CItem_SvRequestLeaveModify	no
CryGame.dll	RMI:CItem:ClEnterModify	S2C	CItem	ClEnterModify	10cc4990	RMI_CItem_ClEnterModify	no
CryGame.dll	RMI:CItem:ClLeaveModify	S2C	CItem	ClLeaveModify	10cc4a20	RMI_CItem_ClLeaveModify	no
