#name	direction	module	candidateTLV
C2S_CMD_GUILD_GETGUILDHANDLE	C2S	GUILD	
C2S_CMD_GUILD_GETGUILDINVITATIONS	C2S	GUILD	
C2S_CMD_GUILD_GETGUILDS	C2S	GUILD	
C2S_CMD_GUILD_GETGUILDTITLES	C2S	GUILD	
C2S_CMD_GUILD_GETLEADER	C2S	GUILD	
C2S_CMD_GUILD_GETLEARNEDSKILLS	C2S	GUILD	TlvSkills
C2S_CMD_GUILD_GETSELF	C2S	GUILD	
C2S_CMD_GUILD_GUILDERNOTESETTING	C2S	GUILD	
C2S_CMD_GUILD_ICONSETTING	C2S	GUILD	
C2S_CMD_GUILD_IMPEACHLEADER	C2S	GUILD	
C2S_CMD_GUILD_INVITEGUILD	C2S	GUILD	
C2S_CMD_GUILD_JEJECTGUILDAPPLY	C2S	GUILD	
C2S_CMD_GUILD_JEJECTGUILDINVITATION	C2S	GUILD	
C2S_CMD_GUILD_KICKGUILDER	C2S	GUILD	
C2S_CMD_GUILD_LEARNSKILL	C2S	GUILD	
C2S_CMD_GUILD_LEAVECAMP	C2S	GUILD	
C2S_CMD_GUILD_LEVELUP	C2S	GUILD	
C2S_CMD_GUILD_MODIFYCOLUMNNAME	C2S	GUILD	
C2S_CMD_GUILD_MODIFYNAME	C2S	GUILD	
C2S_CMD_GUILD_NOTESETTING	C2S	GUILD	
C2S_CMD_GUILD_OPERATE_ITEM_REQ	C2S	GUILD	TlvItem
C2S_CMD_GUILD_QUERYGUILD	C2S	GUILD	
C2S_CMD_GUILD_QUITGUILD	C2S	GUILD	
C2S_CMD_GUILD_RESETDEPOTRIGHT	C2S	GUILD	
C2S_CMD_GUILD_RESETRIGHT	C2S	GUILD	
C2S_CMD_GUILD_RESETTITLE	C2S	GUILD	
C2S_CMD_GUILD_RIGHTSETTING	C2S	GUILD	
C2S_CMD_GUILD_SELECTQUESTPRIZE	C2S	GUILD	
C2S_CMD_GUILD_SORT_ITEM_REQ	C2S	GUILD	TlvItem
C2S_CMD_GUILD_TAKEWAGE	C2S	GUILD	
C2S_CMD_GUILD_TITLESETTING	C2S	GUILD	
C2S_CMD_HUBSPECREWARD_LEVEL_REQ	C2S	HUBSPECREWARD	
C2S_CMD_HUBSPECREWARD_LEVEL_RSP	C2S	HUBSPECREWARD	
C2S_CMD_HUNTER_STAR_TRACK_CARD	C2S	HUNTER	
C2S_CMD_ITEMREBUILD_CHARM_REBUILD_REQ	C2S	ITEMREBUILD	TlvItem
C2S_CMD_ITEMREBUILD_CHARM_REBUILD_RSP	C2S	ITEMREBUILD	TlvItem
C2S_CMD_ITEMREBUILD_EQUIP_QUICK_UPGRADE_REQ	C2S	ITEMREBUILD	TlvItem
C2S_CMD_ITEMREBUILD_ITEMLEVLEUPREQ	C2S	ITEMREBUILD	TlvItem
C2S_CMD_ITEMREBUILD_ITEMLEVLEUPRSP	C2S	ITEMREBUILD	TlvItem
C2S_CMD_ITEMREBUILD_RANDOMWEAPON_REBUILD_REP	C2S	ITEMREBUILD	TlvItem
C2S_CMD_ITEMREBUILD_RANDOMWEAPON_REBUILD_REQ	C2S	ITEMREBUILD	TlvItem
C2S_CMD_ITEMREBUILD_UNBIND_REQ	C2S	ITEMREBUILD	TlvItem
C2S_CMD_ITEMREBUILD_UNBIND_RSP	C2S	ITEMREBUILD	TlvItem
C2S_CMD_ITEM_EQUIPRECOLOR_REQ	C2S	ITEM	TlvItem
C2S_CMD_ITEM_EQUIP_FAKESHOW_REQ	C2S	ITEM	TlvItem
C2S_CMD_LEAGUE_LEVEL_REQ	C2S	LEAGUE	
C2S_CMD_LEAGUE_RANK_LIST	C2S	LEAGUE	
C2S_CMD_LEAGUE_SEASON_REWARD	C2S	LEAGUE	
C2S_CMD_LEAGUE_STEP_REWARD	C2S	LEAGUE	
C2S_CMD_LEGENDPEARL_CONFIRM_REPLACE_ABILITY_REQ	C2S	LEGENDPEARL	
C2S_CMD_LEGENDPEARL_INLAY_REQ	C2S	LEGENDPEARL	
C2S_CMD_LEGENDPEARL_LEVELUP_REQ	C2S	LEGENDPEARL	
C2S_CMD_LEGENDPEARL_TAKE_DOWN_REQ	C2S	LEGENDPEARL	
C2S_CMD_LEGENDPEARL_UPGRADE_REQ	C2S	LEGENDPEARL	
C2S_CMD_LOCALBAT_OP_REQ	C2S	LOCALBAT	
C2S_CMD_PET_RNG	C2S	PET	
C2S_CMD_PET_UNLOCK_SKILL_SLOT	C2S	PET	TlvSkills
C2S_CMD_PHY_CARD_COLLECT_CARD_REQ	C2S	PHY	
C2S_CMD_PHY_CARD_EXCHANGE_CARD_REWARD_REQ	C2S	PHY	
C2S_CMD_PHY_CARD_EXCHANGE_PHY_CARD_REQ	C2S	PHY	
C2S_CMD_RANK_LIST_REQ	C2S	RANK	
C2S_CMD_RAPIDHUNT_FETCH_AWARD	C2S	RAPIDHUNT	
C2S_CMD_ROOMS_GET_REQ	C2S	ROOMS	
C2S_CMD_SACTIVITY_DATA_EXEC_REQ	C2S	SACTIVITY	TlvActivityData
C2S_CMD_SACTIVITY_DETAIL_REQ	C2S	SACTIVITY	
C2S_CMD_SACTIVITY_LIST_REQ	C2S	SACTIVITY	
C2S_CMD_SCULPTURE_GETLIBS	C2S	SCULPTURE	
C2S_CMD_SCULPTURE_GETSCULPTURE	C2S	SCULPTURE	
C2S_CMD_SECRET_RESEARCH_LAB_HANDLE_REFRESH_REQ	C2S	SECRET	
C2S_CMD_SECRET_RESEARCH_LAB_RESEARCH_REQ	C2S	SECRET	
C2S_CMD_SHOP_MANUALRESETSHOP	C2S	SHOP	
C2S_CMD_SHOP_REFRESHSHOPS	C2S	SHOP	
C2S_CMD_SILVERBOX_FETCH_REQ	C2S	SILVERBOX	
C2S_CMD_SOULBEAST_EVOLVE	C2S	SOULBEAST	
C2S_CMD_SOULBEAST_EXP_SHIFT_REQ	C2S	SOULBEAST	
C2S_CMD_SOULBEAST_FEED	C2S	SOULBEAST	
C2S_CMD_SOULBEAST_FOLLOW	C2S	SOULBEAST	
C2S_CMD_SOULBEAST_INTERACT_REQ	C2S	SOULBEAST	
C2S_CMD_SOULBEAST_RESPWAN	C2S	SOULBEAST	
C2S_CMD_SOULBEAST_SETIMAGE	C2S	SOULBEAST	
C2S_CMD_SOULBEAST_UNFOLLOW	C2S	SOULBEAST	
C2S_CMD_SOULBEAST_UNLOCK	C2S	SOULBEAST	
C2S_CMD_SOULSTONE_ATTRUPGRADE	C2S	SOULSTONE	
C2S_CMD_SOULSTONE_LEVELUP	C2S	SOULSTONE	
C2S_CMD_SOULSTONE_RESET	C2S	SOULSTONE	
C2S_CMD_SOULSTONE_STAGEUP	C2S	SOULSTONE	
C2S_CMD_SOULSTONE_UNLOCKSTAGE	C2S	SOULSTONE	
C2S_CMD_SPEAK_CONTENT	C2S	SPEAK	
C2S_CMD_SPEAK_EXEC	C2S	SPEAK	
C2S_CMD_SPEAK_SETAUTO	C2S	SPEAK	
C2S_CMD_SPEAK_SETQUICK	C2S	SPEAK	
C2S_CMD_SPEAK_SETSELFDEF	C2S	SPEAK	
C2S_CMD_SPEAK_WORD	C2S	SPEAK	
C2S_CMD_SPECTATE_REQ	C2S	SPECTATE	
C2S_CMD_SPOOR_FETCHPRIZE	C2S	SPOOR	
C2S_CMD_TALK_END	C2S	TALK	
C2S_CMD_TALK_EXEC	C2S	TALK	
C2S_CMD_TASK_ACCEPTTASK	C2S	TASK	
C2S_CMD_TASK_ACCEPTTASK2	C2S	TASK	
C2S_CMD_TASK_GIVEUPTASK	C2S	TASK	
C2S_CMD_TASK_REFRESHDAILY	C2S	TASK	
C2S_CMD_TASK_REFRESHSCHEDULE	C2S	TASK	
C2S_CMD_TASK_REFRESHXDAILY	C2S	TASK	
C2S_CMD_TASK_SHARETASK	C2S	TASK	
C2S_CMD_TASK_SUBMITTASK	C2S	TASK	
C2S_CMD_TASK_SUBMITTASK2	C2S	TASK	
C2S_CMD_TASK_SYNCDAILY	C2S	TASK	
C2S_CMD_TASK_TRACETASK	C2S	TASK	
C2S_CMD_TOURNAMENTS_GETDETAIL	C2S	TOURNAMENTS	
C2S_CMD_TOURNAMENTS_GETRANKS	C2S	TOURNAMENTS	
C2S_CMD_TOURNAMENTS_SEARCHPLAYER	C2S	TOURNAMENTS	
C2S_CMD_XRANK_BATCHGETUSERDATA	C2S	XRANK	
C2S_CMD_XRANK_GETRANK	C2S	XRANK	
S2C_CMD_ACTIVITY_ADDSECRETQUEST	S2C	ACTIVITY	
S2C_CMD_ACTIVITY_ADD_ONLINETIME	S2C	ACTIVITY	TlvOnlineTime
S2C_CMD_ACTIVITY_AWARD_NTF	S2C	ACTIVITY	
S2C_CMD_ACTIVITY_AWARD_REFRESH	S2C	ACTIVITY	
S2C_CMD_ACTIVITY_CLEARWILDHUNT	S2C	ACTIVITY	
S2C_CMD_ACTIVITY_ERR	S2C	ACTIVITY	
S2C_CMD_ACTIVITY_FETCH_AWARD	S2C	ACTIVITY	
S2C_CMD_ACTIVITY_FETCH_PROC_CLEAR	S2C	ACTIVITY	
S2C_CMD_ACTIVITY_GETWILDHUNTTASKS	S2C	ACTIVITY	
S2C_CMD_ACTIVITY_GETWILDHUNT_RSP	S2C	ACTIVITY	
S2C_CMD_ACTIVITY_REMOVESECRETQUEST	S2C	ACTIVITY	
S2C_CMD_ACTIVITY_WILDHUNTAPPLY	S2C	ACTIVITY	
S2C_CMD_ASTROLABE_ANSWER	S2C	ASTROLABE	
S2C_CMD_ASTROLABE_BUYDAYTASK	S2C	ASTROLABE	
S2C_CMD_ASTROLABE_ERR	S2C	ASTROLABE	
S2C_CMD_ASTROLABE_GETSUBJECT	S2C	ASTROLABE	
S2C_CMD_ASTROLABE_LIGHTEN	S2C	ASTROLABE	
S2C_CMD_ASTROLABE_MANUALRESET	S2C	ASTROLABE	
S2C_CMD_ASTROLABE_NOTIFY	S2C	ASTROLABE	
S2C_CMD_ASTROLABE_OPEN	S2C	ASTROLABE	
S2C_CMD_ASTROLABE_REFRESHTASK	S2C	ASTROLABE	
S2C_CMD_ASTROLABE_RESET	S2C	ASTROLABE	
S2C_CMD_CLAN_ERR	S2C	CLAN	
S2C_CMD_CLAN_GETCLANDETAIL	S2C	CLAN	
S2C_CMD_CLAN_GETCLANERS	S2C	CLAN	
S2C_CMD_CLAN_GETLEADER	S2C	CLAN	
S2C_CMD_CLAN_GETSELF	S2C	CLAN	
S2C_CMD_CLAN_MEMBER_LIST_RSP	S2C	CLAN	
S2C_CMD_CLAN_NOTIFY	S2C	CLAN	
S2C_CMD_DEMON_TRIAL_GET_LEVELS_PASS_TIME_RSP	S2C	DEMON	
S2C_CMD_DEMON_TRIAL_GET_LEVELS_RSP	S2C	DEMON	
S2C_CMD_EQUIPEFFECT_WAKING	S2C	EQUIPEFFECT	
S2C_CMD_ERR	S2C	ERR	TlvPlayerReportInfo,TlvPlayerReportData
S2C_CMD_FLUTE_ADD_NOTE	S2C	FLUTE	
S2C_CMD_FLUTE_INVOKE_TUNE	S2C	FLUTE	
S2C_CMD_FRIEND_ERR	S2C	FRIEND	
S2C_CMD_FRIEND_NOTIFY	S2C	FRIEND	
S2C_CMD_FRIEND_SVRSUPDATE	S2C	FRIEND	
S2C_CMD_GUIDE_BOOK_ACTION_FINISH_NTF	S2C	GUIDE	
S2C_CMD_GUIDE_BOOK_AUTO_FIRST_OPEN_RSP	S2C	GUIDE	
S2C_CMD_GUIDE_BOOK_GET_CHAPTER_REWARD_RSP	S2C	GUIDE	
S2C_CMD_GUIDE_BOOK_SET_NEW_RSP	S2C	GUIDE	
S2C_CMD_GUIDE_BOOK_SET_WEAPON_ID_RSP	S2C	GUIDE	
S2C_CMD_GUILD_ACCEPTTASKS	S2C	GUILD	
S2C_CMD_GUILD_ADD_ITEM_NTF	S2C	GUILD	TlvItem
S2C_CMD_GUILD_CLEARGUILDERDETAIL	S2C	GUILD	
S2C_CMD_GUILD_DEL_ITEM_NTF	S2C	GUILD	TlvItem
S2C_CMD_GUILD_ERR	S2C	GUILD	
S2C_CMD_GUILD_EXECTASK	S2C	GUILD	
S2C_CMD_GUILD_FINDGUILDS	S2C	GUILD	
S2C_CMD_GUILD_GETCANDIDATESKILLS	S2C	GUILD	TlvSkills
S2C_CMD_GUILD_GETDEPOT	S2C	GUILD	
S2C_CMD_GUILD_GETGUILDAPPLYS	S2C	GUILD	
S2C_CMD_GUILD_GETGUILDDETAIL	S2C	GUILD	
S2C_CMD_GUILD_GETGUILDER	S2C	GUILD	
S2C_CMD_GUILD_GETGUILDERDETAIL	S2C	GUILD	
S2C_CMD_GUILD_GETGUILDERS	S2C	GUILD	
S2C_CMD_GUILD_GETGUILDERSCOUNT	S2C	GUILD	
S2C_CMD_GUILD_GETGUILDINVITATIONS	S2C	GUILD	
S2C_CMD_GUILD_GETGUILDS	S2C	GUILD	
S2C_CMD_GUILD_GETGUILDTITLES	S2C	GUILD	
S2C_CMD_GUILD_GETLEADER	S2C	GUILD	
S2C_CMD_GUILD_GETLEARNEDSKILLS	S2C	GUILD	TlvSkills
S2C_CMD_GUILD_GETQUEST	S2C	GUILD	
S2C_CMD_GUILD_GETRANDCOMMODITIES	S2C	GUILD	
S2C_CMD_GUILD_GETSELF	S2C	GUILD	
S2C_CMD_GUILD_GETTASKS	S2C	GUILD	
S2C_CMD_GUILD_MOVE_ITEM_NTF	S2C	GUILD	TlvItem
S2C_CMD_GUILD_NOTIFY	S2C	GUILD	
S2C_CMD_GUILD_QUERYGUILD	S2C	GUILD	
S2C_CMD_GUILD_REFRESHTASK	S2C	GUILD	
S2C_CMD_GUILD_RESETTASK	S2C	GUILD	
S2C_CMD_GUILD_SORT_ITEM_NTF	S2C	GUILD	TlvItem
S2C_CMD_GUILD_SUBMITTASK	S2C	GUILD	
S2C_CMD_GUILD_SWAP_ITEM_NTF	S2C	GUILD	TlvItem
S2C_CMD_GUILD_UPDATE_ITEM_NTF	S2C	GUILD	TlvItem
S2C_CMD_HUNTER_STAR_REFRESH_STAT	S2C	HUNTER	
S2C_CMD_HUNTER_STAR_TRACK_CARD	S2C	HUNTER	
S2C_CMD_ITEMBOX_ERR	S2C	ITEMBOX	TlvItem
S2C_CMD_ITEMREBUILD_EQUIP_QUICK_UPGRADE_RSP	S2C	ITEMREBUILD	TlvItem
S2C_CMD_ITEM_EQUIPRECOLOR_RSP	S2C	ITEM	TlvItem
S2C_CMD_ITEM_EQUIP_FAKESHOW_RSP	S2C	ITEM	TlvItem
S2C_CMD_ITEM_FIREWORKS_USE_NTF	S2C	ITEM	TlvItem
S2C_CMD_ITEM_ROSE_FLOWER_NTF	S2C	ITEM	TlvItem
S2C_CMD_LEAGUE_LEVEL_RSP	S2C	LEAGUE	
S2C_CMD_LEAGUE_PLAYERINFO	S2C	LEAGUE	
S2C_CMD_LEAGUE_RANK_RSP	S2C	LEAGUE	
S2C_CMD_LEAGUE_RESULT	S2C	LEAGUE	
S2C_CMD_LEAGUE_REWARD	S2C	LEAGUE	
S2C_CMD_LEAGUE_SEASON_REWARD	S2C	LEAGUE	
S2C_CMD_LEAGUE_STEP_REWARD	S2C	LEAGUE	
S2C_CMD_LEGENDPEARL_CONFIRM_REPLACE_ABILITY_RSP	S2C	LEGENDPEARL	
S2C_CMD_LEGENDPEARL_INLAY_RSP	S2C	LEGENDPEARL	
S2C_CMD_LEGENDPEARL_LEVELUP_RSP	S2C	LEGENDPEARL	
S2C_CMD_LEGENDPEARL_TAKE_DOWN_RSP	S2C	LEGENDPEARL	
S2C_CMD_LEGENDPEARL_UPGRADE_RSP	S2C	LEGENDPEARL	
S2C_CMD_LEVEL_STAT_EVENT	S2C	LEVEL	
S2C_CMD_LOCALBAT_OP_RSP	S2C	LOCALBAT	
S2C_CMD_MAIL_ERR	S2C	MAIL	
S2C_CMD_MAIL_NOTIFY	S2C	MAIL	
S2C_CMD_NOTIFY	S2C	NOTIFY	
S2C_CMD_PET_RNG	S2C	PET	
S2C_CMD_PET_UNLOCK_SKILL_SLOT	S2C	PET	TlvSkills
S2C_CMD_PHY_CARD_CARD_INFO_CHANGE_NTF	S2C	PHY	
S2C_CMD_PHY_CARD_COLLECT_CARD_RSP	S2C	PHY	
S2C_CMD_PHY_CARD_EXCHANGE_CARD_REWARD_RSP	S2C	PHY	
S2C_CMD_PHY_CARD_EXCHANGE_PHY_CARD_RSP	S2C	PHY	
S2C_CMD_RAGE_DATA_NOTIFY	S2C	RAGE	
S2C_CMD_RANK_GETUSERDATA	S2C	RANK	
S2C_CMD_RANK_LIST_RSP	S2C	RANK	
S2C_CMD_RANK_RAPIDHUNT_LIST_RSP	S2C	RANK	
S2C_CMD_RAPIDHUNT_AWARDS	S2C	RAPIDHUNT	
S2C_CMD_RAPIDHUNT_ERR	S2C	RAPIDHUNT	
S2C_CMD_RAPIDHUNT_FETCH_AWARD	S2C	RAPIDHUNT	
S2C_CMD_RAPIDHUNT_REFRESH	S2C	RAPIDHUNT	
S2C_CMD_ROOMS_GET_RSP	S2C	ROOMS	
S2C_CMD_SACTIVITY_COUNTER_UPDATE_NTF	S2C	SACTIVITY	
S2C_CMD_SACTIVITY_DATA_EXEC_RSP	S2C	SACTIVITY	TlvActivityData
S2C_CMD_SACTIVITY_DETAIL_RSP	S2C	SACTIVITY	
S2C_CMD_SACTIVITY_GETGLOBALTOKENS	S2C	SACTIVITY	
S2C_CMD_SACTIVITY_LIST_RSP	S2C	SACTIVITY	
S2C_CMD_SACTIVITY_STATE_NTF	S2C	SACTIVITY	
S2C_CMD_SACTIVITY_TIME_UPATE_NTF	S2C	SACTIVITY	
S2C_CMD_SACTIVITY_UPDATEBGSTAT	S2C	SACTIVITY	
S2C_CMD_SACTIVITY_VAR_UPDATE_NTF	S2C	SACTIVITY	
S2C_CMD_SCRIPT_ADD_SCULPTURE	S2C	SCRIPT	
S2C_CMD_SCRIPT_DEL_SCULPTURE	S2C	SCRIPT	
S2C_CMD_SCULPTURE_AVATAR_SNAPSHOT	S2C	SCULPTURE	
S2C_CMD_SCULPTURE_ERR	S2C	SCULPTURE	
S2C_CMD_SCULPTURE_GETLIBS	S2C	SCULPTURE	
S2C_CMD_SCULPTURE_GETSCULPTURE	S2C	SCULPTURE	
S2C_CMD_SCULPTURE_LIB_SNAPSHOT	S2C	SCULPTURE	
S2C_CMD_SECRET_RESEARCH_LAB_CLOCK_REFRESH_RSP	S2C	SECRET	
S2C_CMD_SECRET_RESEARCH_LAB_DALIY_REFRESH_RSP	S2C	SECRET	
S2C_CMD_SECRET_RESEARCH_LAB_DATA_SYNCHRONIZATION_RSP	S2C	SECRET	
S2C_CMD_SECRET_RESEARCH_LAB_HANDLE_REFRESH_RSP	S2C	SECRET	
S2C_CMD_SECRET_RESEARCH_LAB_RESEARCH_RSP	S2C	SECRET	
S2C_CMD_SHOP_COMMODITYUPDATE	S2C	SHOP	
S2C_CMD_SHOP_ERR	S2C	SHOP	
S2C_CMD_SHOP_MANUALRESETSHOP	S2C	SHOP	
S2C_CMD_SHOP_REFRESHSHOP	S2C	SHOP	
S2C_CMD_SILVERBOX_FETCH_RSP	S2C	SILVERBOX	
S2C_CMD_SILVERBOX_SYNC_DATA_NOTIFY	S2C	SILVERBOX	
S2C_CMD_SOULBEAST_APPEAR_NTF_LIST	S2C	SOULBEAST	
S2C_CMD_SOULBEAST_ATTR_SYNC_NTF	S2C	SOULBEAST	
S2C_CMD_SOULBEAST_INTERACT_NTF	S2C	SOULBEAST	
S2C_CMD_SOULSTONE_ATTRUPGRADE	S2C	SOULSTONE	
S2C_CMD_SPEAK_CONTENT	S2C	SPEAK	
S2C_CMD_SPEAK_ERR	S2C	SPEAK	
S2C_CMD_SPEAK_EXEC	S2C	SPEAK	
S2C_CMD_SPEAK_SETAUTO	S2C	SPEAK	
S2C_CMD_SPEAK_SETQUICK	S2C	SPEAK	
S2C_CMD_SPEAK_SETSELFDEF	S2C	SPEAK	
S2C_CMD_SPEAK_WORD	S2C	SPEAK	
S2C_CMD_SPECTATE_ERR	S2C	SPECTATE	
S2C_CMD_SPECTATE_RSP	S2C	SPECTATE	
S2C_CMD_SPOOR_ADDPOINTS	S2C	SPOOR	
S2C_CMD_SPOOR_ERR	S2C	SPOOR	
S2C_CMD_SPOOR_FETCHPRIZE	S2C	SPOOR	
S2C_CMD_TALK_ERR	S2C	TALK	
S2C_CMD_TALK_EXEC	S2C	TALK	
S2C_CMD_TASK_ACCEPTTASK	S2C	TASK	
S2C_CMD_TASK_ERR	S2C	TASK	
S2C_CMD_TASK_EXEC	S2C	TASK	
S2C_CMD_TASK_EXEC2	S2C	TASK	
S2C_CMD_TASK_GIVEUPTASK	S2C	TASK	
S2C_CMD_TASK_REFRESHDAILY	S2C	TASK	
S2C_CMD_TASK_REFRESHSCHEDULE	S2C	TASK	
S2C_CMD_TASK_REFRESHXDAILY	S2C	TASK	
S2C_CMD_TASK_RESETDAILY	S2C	TASK	
S2C_CMD_TASK_RESETSCHEDULE	S2C	TASK	
S2C_CMD_TASK_RESETTASK	S2C	TASK	
S2C_CMD_TASK_RESETXDAILY	S2C	TASK	
S2C_CMD_TASK_SETSTATE	S2C	TASK	
S2C_CMD_TASK_SHARETASK	S2C	TASK	
S2C_CMD_TASK_SUBMITTASK	S2C	TASK	
S2C_CMD_TASK_SYNCDAILY	S2C	TASK	
S2C_CMD_TOURNAMENTS_ERR	S2C	TOURNAMENTS	
S2C_CMD_TOURNAMENTS_GETDETAIL	S2C	TOURNAMENTS	
S2C_CMD_TOURNAMENTS_GETRANKS	S2C	TOURNAMENTS	
S2C_CMD_TOURNAMENTS_SEARCHPLAYER	S2C	TOURNAMENTS	
S2C_CMD_XRANK_BATCHGETUSERDATA	S2C	XRANK	
S2C_CMD_XRANK_GETRANK	S2C	XRANK	
