#opcode	name	dir	nFuncs	funcAddrs(<=3)
8453	C2S_CMD_GUILD_APPLYGUILD	C2S	5	1062a0a0:FUN_1062a0a0 | 106b2c30:FUN_106b2c30 | 11138940:FUN_11138940
8454	C2S_CMD_GUILD_GETGUILDAPPLYS	C2S	5	1062a110:FUN_1062a110 | 106b2cd0:FUN_106b2cd0 | 111389c0:FUN_111389c0
8455	C2S_CMD_GUILD_ACCEPTGUILDAPPLY	C2S	5	1062a180:FUN_1062a180 | 106b2d70:FUN_106b2d70 | 11138a30:FUN_11138a30
8456	C2S_CMD_GUILD_JEJECTGUILDAPPLY	C2S	6	1062a1f0:FUN_1062a1f0 | 10651fa0:FUN_10651fa0 | 106b2e10:FUN_106b2e10
8457	C2S_CMD_GUILD_INVITEGUILD	C2S	5	1062a260:FUN_1062a260 | 106b2eb0:FUN_106b2eb0 | 11138b20:FUN_11138b20
8464	C2S_CMD_GUILD_GETGUILDINVITATIONS	C2S	6	1062a2d0:FUN_1062a2d0 | 10651fe0:FUN_10651fe0 | 106b2f50:FUN_106b2f50
8465	C2S_CMD_GUILD_ACCEPTGUILDINVITATION	C2S	5	1062a340:FUN_1062a340 | 106b2ff0:FUN_106b2ff0 | 11138cb0:FUN_11138cb0
8466	C2S_CMD_GUILD_JEJECTGUILDINVITATION	C2S	5	1062a3b0:FUN_1062a3b0 | 106b3090:FUN_106b3090 | 11138d30:FUN_11138d30
8467	C2S_CMD_GUILD_QUITGUILD	C2S	5	1062a420:FUN_1062a420 | 106b3130:FUN_106b3130 | 11138db0:FUN_11138db0
8468	C2S_CMD_GUILD_KICKGUILDER	C2S	5	1062a490:FUN_1062a490 | 106b31d0:FUN_106b31d0 | 11138e20:FUN_11138e20
8469	C2S_CMD_GUILD_ALTERLEADER	C2S	5	1062a500:FUN_1062a500 | 106b3270:FUN_106b3270 | 11138ea0:FUN_11138ea0
8470	C2S_CMD_GUILD_GUILDERNOTESETTING	C2S	5	1062a570:FUN_1062a570 | 106b3310:FUN_106b3310 | 11138f20:FUN_11138f20
8471	C2S_CMD_GUILD_NOTESETTING	C2S	5	1062a5e0:FUN_1062a5e0 | 106b33b0:FUN_106b33b0 | 11138fa0:FUN_11138fa0
8472	C2S_CMD_GUILD_ICONSETTING	C2S	6	1062a650:FUN_1062a650 | 10652020:FUN_10652020 | 106b3450:FUN_106b3450
8473	C2S_CMD_GUILD_LEVELUP	C2S	5	1062a6c0:FUN_1062a6c0 | 106b34f0:FUN_106b34f0 | 11139090:FUN_11139090
8480	C2S_CMD_GUILD_TAKEWAGE	C2S	6	1062a730:FUN_1062a730 | 10652060:FUN_10652060 | 106b3590:FUN_106b3590
8481	C2S_CMD_GUILD_GETGUILDHANDLE	C2S	5	1062a7a0:FUN_1062a7a0 | 106b3630:FUN_106b3630 | 111391f0:FUN_111391f0
8482	C2S_CMD_GUILD_GETGUILDDETAIL	C2S	5	1062a810:FUN_1062a810 | 106b36d0:FUN_106b36d0 | 11139260:FUN_11139260
8483	C2S_CMD_GUILD_GETGUILDTITLES	C2S	5	1062a880:FUN_1062a880 | 106b3770:FUN_106b3770 | 111392d0:FUN_111392d0
8484	C2S_CMD_GUILD_GETLEADER	C2S	5	1062a8f0:FUN_1062a8f0 | 106b3810:FUN_106b3810 | 11139340:FUN_11139340
8485	C2S_CMD_GUILD_GETSELF	C2S	5	1062a960:FUN_1062a960 | 106b38b0:FUN_106b38b0 | 111393b0:FUN_111393b0
8486	C2S_CMD_GUILD_GETGUILDERDETAIL	C2S	6	1062a9d0:FUN_1062a9d0 | 106b3950:FUN_106b3950 | 11139420:FUN_11139420
8487	C2S_CMD_GUILD_GETGUILDALL	C2S	5	1062aa40:FUN_1062aa40 | 106b39f0:FUN_106b39f0 | 11139490:FUN_11139490
8488	C2S_CMD_GUILD_GETGUILDER	C2S	6	1062aab0:FUN_1062aab0 | 106520a0:FUN_106520a0 | 106b3a90:FUN_106b3a90
8489	C2S_CMD_GUILD_GETGUILDERSCOUNT	C2S	5	1062ab20:FUN_1062ab20 | 106b3b30:FUN_106b3b30 | 11139580:FUN_11139580
8496	C2S_CMD_GUILD_GETGUILDERS	C2S	6	1062ab90:FUN_1062ab90 | 106520e0:FUN_106520e0 | 106b3bd0:FUN_106b3bd0
8497	C2S_CMD_GUILD_TITLESETTING	C2S	5	1062ac00:FUN_1062ac00 | 106b3c70:FUN_106b3c70 | 11139660:FUN_11139660
8498	C2S_CMD_GUILD_RESETTITLE	C2S	5	1062ac70:FUN_1062ac70 | 106b3d10:FUN_106b3d10 | 111396e0:FUN_111396e0
8499	C2S_CMD_GUILD_RIGHTSETTING	C2S	5	1062ace0:FUN_1062ace0 | 106b3db0:FUN_106b3db0 | 11139750:FUN_11139750
8500	C2S_CMD_GUILD_RESETRIGHT	C2S	5	1062ad50:FUN_1062ad50 | 106b3e50:FUN_106b3e50 | 111397d0:FUN_111397d0
8501	C2S_CMD_GUILD_ASCENDTITLE	C2S	5	1062adc0:FUN_1062adc0 | 106b3ef0:FUN_106b3ef0 | 11139840:FUN_11139840
8502	C2S_CMD_GUILD_DESCENDTITLE	C2S	5	1062ae30:FUN_1062ae30 | 106b3f90:FUN_106b3f90 | 111398c0:FUN_111398c0
