#insnAddr	func	funcName	funcSize	mnemonic	text
10f9afa9	10f9aea0	FUN_10f9aea0	595	LEA	LEA EDX,[ESI + 0x210]
10f9b165	10f9b100	FUN_10f9b100	207	MOV	MOV ESI,dword ptr [EDI + 0x210]
10f9b305	10f9b1e0	FUN_10f9b1e0	666	MOV	MOV ECX,dword ptr [EDI + 0x210]
10f9b5db	10f9b480	CParticleEmitterList::SpawnEffectShared	407	MOV	MOV dword ptr [ESI + 0x210],EBX
10f9b63f	10f9b620	FUN_10f9b620	240	MOV	MOV dword ptr [ESI + 0x210],0xffffffff
10f9b66f	10f9b620	FUN_10f9b620	240	MOV	MOV dword ptr [ESI + 0x210],EDI
10f9b68a	10f9b620	FUN_10f9b620	240	MOV	MOV dword ptr [ESI + 0x210],EDI
10f9b6c3	10f9b620	FUN_10f9b620	240	MOV	MOV dword ptr [ESI + 0x210],EAX
10f9b71e	10f9b710	FUN_10f9b710	55	CMP	CMP dword ptr [ESI + 0x210],EAX
10f9f750	10f9f390	FUN_10f9f390	1031	MOVSS	MOVSS dword ptr [ESI + 0x210],XMM0
10f9fb54	10f9f7a0	FUN_10f9f7a0	992	MOVSS	MOVSS dword ptr [ESI + 0x210],XMM0
10fa1359	10fa1260	FUN_10fa1260	327	MOV	MOV dword ptr [ESI + 0x210],EAX
10fa3577	10fa3510	FUN_10fa3510	140	MOV	MOV dword ptr [EDI + 0x210],ESI
10fa3aa9	10fa3a80	FUN_10fa3a80	51	MOV	MOV dword ptr [ECX + 0x210],EAX
10fa3ae9	10fa3ac0	FUN_10fa3ac0	51	MOV	MOV dword ptr [ECX + 0x210],EAX
10fa4b3f	10fa4780	FUN_10fa4780	2257	MOV	MOV EAX,dword ptr [EDI + 0x210]
10fa4bfc	10fa4780	FUN_10fa4780	2257	MOV	MOV EAX,dword ptr [EDI + 0x210]
10fa4c5c	10fa4780	FUN_10fa4780	2257	MOVSS	MOVSS XMM0,dword ptr [EDI + 0x210]
10fa50bb	10fa5060	FUN_10fa5060	608	MOV	MOV dword ptr [ESI + 0x210],0x0
10faa34b	10fa9f30	FUN_10fa9f30	1119	LEA	LEA EAX,[EDI + 0x210]
10faacf8	10faac90	FUN_10faac90	170	MOV	MOV EAX,dword ptr [EBX + 0x210]
10faada8	10faad40	FUN_10faad40	170	MOV	MOV EAX,dword ptr [EBX + 0x210]
10fab7c7	10fab720	FUN_10fab720	285	MOVSS	MOVSS dword ptr [EDI + 0x210],XMM2
10fab9ca	10fab8d0	FUN_10fab8d0	451	COMISS	COMISS XMM0,dword ptr [EDI + 0x210]
10fabc96	10fabc70	FUN_10fabc70	219	MOVQ	MOVQ qword ptr [EDI + 0x210],XMM0
10fabcbe	10fabc70	FUN_10fabc70	219	MOV	MOV EAX,dword ptr [EDI + 0x210]
10fabe6e	10fabdc0	FUN_10fabdc0	407	MOVSS	MOVSS XMM0,dword ptr [EAX + 0x210]
10fb44f8	10fb44f0	FUN_10fb44f0	20	MOVSS	MOVSS dword ptr [ECX + 0x210],XMM0
10fb4518	10fb4510	FUN_10fb4510	20	MOVSS	MOVSS dword ptr [ECX + 0x210],XMM0
10fb4656	10fb4650	FUN_10fb4650	16	MOV	MOV dword ptr [ECX + 0x210],EAX
10fd687e	10fd61b0	FUN_10fd61b0	4013	MOV	MOV dword ptr [EDX + 0x210],ECX
10fd6933	10fd61b0	FUN_10fd61b0	4013	MOV	MOV dword ptr [EDX + 0x210],ECX
10fd6b68	10fd61b0	FUN_10fd61b0	4013	MOVSS	MOVSS dword ptr [ECX + 0x210],XMM7
10fd6dcc	10fd61b0	FUN_10fd61b0	4013	MOVSS	MOVSS dword ptr [ECX + 0x210],XMM7
10fe7f24	10fe7f10	FUN_10fe7f10	49	PUSH	PUSH 0x210
10fe7f94	10fe7f80	FUN_10fe7f80	49	PUSH	PUSH 0x210
10fe80e4	10fe80d0	FUN_10fe80d0	49	PUSH	PUSH 0x210
10ff650c	10ff5840	FUN_10ff5840	8492	MOVSS	MOVSS XMM7,dword ptr [EDI + 0x210]
10ff6576	10ff5840	FUN_10ff5840	8492	MOVSS	MOVSS XMM1,dword ptr [EDI + 0x210]
10ff6b46	10ff5840	FUN_10ff5840	8492	ADDSS	ADDSS XMM7,dword ptr [EDI + 0x210]
10ff6b5e	10ff5840	FUN_10ff5840	8492	MOVSS	MOVSS dword ptr [EDI + 0x210],XMM7
110413b9	11041390	FUN_11041390	59	CALL	CALL dword ptr [EAX + 0x210]
11062af0	11062a80	FUN_11062a80	389	MOV	MOV EDI,dword ptr [EAX + 0x210]
1109302b	11092f60	FUN_11092f60	460	MOV	MOV EAX,dword ptr [ECX + 0x210]
11138681	11138640	FUN_11138640	149	MOV	MOV EAX,0x210
11166e99	-	-	0	JMP	JMP dword ptr [EDX + 0x210]
11175a7f	111759f0	FUN_111759f0	163	PUSH	PUSH dword ptr [ESI + 0x210]
1118ca15	1118c9e0	FUN_1118c9e0	145	MOV	MOV EAX,0x210
111af6d2	111af590	FUN_111af590	407	PUSH	PUSH 0x210
111be98d	111be950	FUN_111be950	145	MOV	MOV EAX,0x210
112306c8	11230630	FUN_11230630	188	MOV	MOV ESI,dword ptr [EAX + 0x210]
112a0250	112a00f0	FUN_112a00f0	1292	LEA	LEA EAX,[EDI + 0x210]
113ff242	113ff120	FUN_113ff120	931	MOV	MOV EAX,0x210
11478b80	11478b50	FUN_11478b50	95	MOV	MOV EDX,dword ptr [EDX + 0x210]
1147f57c	1147f3e0	FUN_1147f3e0	1566	ADD	ADD ECX,0x210
114d7f1c	114d7f00	FUN_114d7f00	169	MOV	MOV dword ptr [EBP + -0x10],0x210
1154ef93	1154ef90	CMartGoodsInfo::IndexGood	185	SUB	SUB ESP,0x210
115adc97	115adb60	FUN_115adb60	395	MOV	MOV dword ptr [EDI + 0x210],0x11d2fd60
115ae127	115ae0f0	FUN_115ae0f0	505	MOV	MOV dword ptr [EBX + 0x210],0x11d23e64
115f0cb3	115f0c90	FUN_115f0c90	153	MOV	MOV EAX,dword ptr [EAX + 0x210]
115f1380	-	-	0	MOV	MOV EAX,0x210
115f1440	-	-	0	MOV	MOV EAX,0x210
1163540d	116353f0	FUN_116353f0	119	MOV	MOV dword ptr [EBP + -0x10],0x210
1166df2a	1166df20	FUN_1166df20	20	MOV	MOV EAX,dword ptr [EAX + 0x210]
